whitelist;blacklist
e.gh31.pos.set;BEAM_HOR_ENC
e.reference_inclination_horizontal_top_roll;speed
temp.average;
temp.max;
u0.gr212_1.ds.table_pos_before;
u0.gr232_2.ds.table_pos_after;
u0.os.reference_thickness_vertical;
u0.reference_inclination_horizontal_top_roll;
u0.reference_offset_axial_shifting;
uf.ds.reference_thickness_vertical;
uf.gr32-1.ds.table_pos_after.act;
uf.gr32-2.os.table_pos_after.act;
uf.gr37-1.table_pos_after.act;
uf.os.reference_thickness_vertical;
uf.reference_inclination_horizontal_top_roll;
uf.reference_offset_axial_shifting;
ur.ds.reference_thickness_vertical;
ur.ge11-3.ds.line_before.set;
ur.ge12-3.os.line_before.set;
ur.gg25.cool_roll.set;
ur.gr22-1.os.table_pos_before.act;
ur.gr22-2.os.table_pos_before.act;
ur.gr27-1.table_pos_before.act;
ur.os.reference_thickness_vertical;
ur.reference_inclination_horizontal;
ur.reference_inclination_horizontal_top_roll;
ur.reference_offset_axial_shifting;
u0.gr212_2.os.table_pos_before;
ur.gr27-1.table_pos_before.set;
ur.gr22-1.os.table_pos_before.set;
ur.gr22-2.os.table_pos_before.set;
ur.gr27-1.table_pos_before.set;
ur.gr22-1.os.table_pos_before.set;
ur.gr22-2.os.table_pos_before.set;
ur.gr27-1.table_pos_before.set;
ur.gr22-1.os.table_pos_before.set;
ur.gr22-2.os.table_pos_before.set;
