,feature,unique_vals
0,LNK100_Vert1000_[i_103.0],799
1,LNK100_Vert1500_[i_103.0],1279
2,LNK100_Vert2000_[i_103.0],1702
3,LNK100_Vert3000_[i_103.0],2379
4,LNK100_Hor1000_[i_103.0],888
5,LNK100_Hor1500_[i_103.0],1477
6,LNK100_Hor2000_[i_103.0],2183
7,LNK100_Torsion_[i_103.0],3404
8,billet_id,24167
9,WBF_DATE_TIME_[ni],243801
10,WBF_OXI_DEPTH_[ni],434853
11,WBF_DEC_DEPTH_[ni],318806
12,WBF_FURNACE_TEMP_UP_H_[ni],81062
13,WBF_FURNACE_TEMP_UP_C_[ni],80706
14,WBF_FURNACE_TEMP_UP_T_[ni],81141
15,WBF_FURNACE_TEMP_DOWN_H_[ni],82706
16,WBF_FURNACE_TEMP_DOWN_C_[ni],84937
17,WBF_FURNACE_TEMP_DOWN_T_[ni],83658
18,WBF_TARGET_TEMP_H_[ni],67783
19,WBF_TARGET_TEMP_C_[ni],67783
20,WBF_TARGET_TEMP_T_[ni],67783
21,WBF_CALC_TEMP_TOP_H_[ni],89292
22,WBF_CALC_TEMP_TOP_C_[ni],87817
23,WBF_CALC_TEMP_TOP_T_[ni],88457
24,WBF_CALC_TEMP_CORE_H_[ni],91696
25,WBF_CALC_TEMP_CORE_C_[ni],90734
26,WBF_CALC_TEMP_CORE_T_[ni],91251
27,WBF_CALC_TEMP_BOTTOM_H_[ni],91492
28,WBF_CALC_TEMP_BOTTOM_C_[ni],89789
29,WBF_CALC_TEMP_BOTTOM_T_[ni],90919
30,WBF_sgl_PIECE_PK,24167
31,WBF_sgl_FURNACE_FK,1
32,billet_number,24167
33,WBF_sgl_CHARGING_TIME,24166
34,WBF_sgl_TOT_X_NODE,1
35,WBF_sgl_TOT_Y_NODE,1
36,WBF_sgl_TOT_Z_NODE,1
37,WBF_sgl_X_POS,307
38,WBF_sgl_X_COORD,473
39,WBF_sgl_IS_DISCHARGED,1
40,WBF_sgl_DISCHARGING_TIME,24151
41,WBF_sgl_MARKA,5
42,WBF_sgl_BISRA,3
43,WBF_sgl_STRATEGY,2
44,WBF_sgl_L_WBF,317
45,WBF_sgl_H_WBF,1
46,WBF_sgl_W_WBF,7
47,WBF_sgl_WEIGHT,316
48,WBF_sgl_CHG_TEMP,2
49,WBF_sgl_PLA_PACE_RATE,3
50,WBF_sgl_CUR_PACE_RATE,847
51,WBF_sgl_TARGET_TEMP,3
52,WBF_sgl_TARGET_TEMP_Cor,24
53,WBF_sgl_DCHG_TARGET_TEMP_PDI,3
54,WBF_sgl_CALC_MEAN_TEMP_CNV,462
55,WBF_sgl_CALC_MEAN_TEMP_PHE,556
56,WBF_sgl_CALC_MEAN_TEMP_HE1,386
57,WBF_sgl_CALC_MEAN_TEMP_HE2,169
58,WBF_sgl_CALC_MEAN_TEMP_SOA,88
59,WBF_sgl_TARGET_MEAN_TEMP_CNV,30
60,WBF_sgl_TARGET_MEAN_TEMP_PHE,26
61,WBF_sgl_TARGET_MEAN_TEMP_HE1,22
62,WBF_sgl_TARGET_MEAN_TEMP_HE2,21
63,WBF_sgl_TARGET_MEAN_TEMP_SOA,22
64,WBF_sgl_CROSSING_TIME_CNV,0
65,WBF_sgl_CROSSING_TIME_PHE,0
66,WBF_sgl_CROSSING_TIME_HE1,0
67,WBF_sgl_CROSSING_TIME_HE2,0
68,WBF_sgl_CROSSING_TIME_SOA,24151
69,WBF_sgl_CALC_DISCHARGING_TEMP_TOP_HEAD,83
70,WBF_sgl_CALC_DISCHARGING_TEMP_CORE_HEAD,106
71,WBF_sgl_CALC_DISCHARGING_TEMP_BOTTOM_HEAD,102
72,WBF_sgl_CALC_DISCHARGING_TEMP_TOP_CENTR,79
